             group                 group_value  precision    recall     fbeta       FPR
42      occupation             Protective-serv   0.863636  0.475000  0.612903  0.038462
43      occupation                       Sales   0.800000  0.483092  0.602410  0.046211
44      occupation                Tech-support   0.862069  0.357143  0.505051  0.030534
45      occupation            Transport-moving   0.928571  0.209677  0.342105  0.004016
46    relationship                     Husband   0.778751  0.593985  0.673934  0.137135
47    relationship               Not-in-family   0.943396  0.312500  0.469484  0.002005
48    relationship              Other-relative   1.000000  0.428571  0.600000  0.000000
49    relationship                   Own-child   1.000000  0.200000  0.333333  0.000000
50    relationship                   Unmarried   1.000000  0.261905  0.415094  0.000000
51    relationship                        Wife   0.813725  0.532051  0.643411  0.112426
52            race          Amer-Indian-Eskimo   0.750000  0.545455  0.631579  0.040000
53            race          Asian-Pac-Islander   0.657895  0.531915  0.588235  0.080247
54            race                       Black   0.857143  0.461538  0.600000  0.012868
55            race                       Other   0.800000  0.571429  0.666667  0.021739
56            race                       White   0.795939  0.551724  0.651704  0.048621
57             sex                      Female   0.848000  0.456897  0.593838  0.009880
58             sex                        Male   0.786458  0.561338  0.655098  0.068038
59  native-country                           ?   0.689655  0.540541  0.606061  0.120000
60  native-country                    Cambodia   1.000000  0.000000  0.000000  0.000000
61  native-country                      Canada   1.000000  0.200000  0.333333  0.000000
62  native-country                       China   0.400000  0.500000  0.444444  0.230769
63  native-country                    Columbia   1.000000  1.000000  1.000000  0.000000
64  native-country                        Cuba   1.000000  0.600000  0.750000  0.000000
65  native-country          Dominican-Republic   1.000000  1.000000  1.000000  0.000000
66  native-country                     Ecuador   1.000000  1.000000  1.000000  0.000000
67  native-country                 El-Salvador   1.000000  1.000000  1.000000  0.000000
68  native-country                     England   0.833333  0.833333  0.833333  0.166667
69  native-country                      France   0.500000  0.500000  0.500000  0.200000
70  native-country                     Germany   1.000000  0.555556  0.714286  0.000000
71  native-country                      Greece   1.000000  1.000000  1.000000  0.000000
72  native-country                   Guatemala   1.000000  0.000000  0.000000  0.000000
73  native-country                       Haiti   1.000000  0.000000  0.000000  0.000000
74  native-country                    Honduras   1.000000  1.000000  1.000000  0.000000
75  native-country                        Hong   1.000000  1.000000  1.000000  0.000000
76  native-country                     Hungary   1.000000  1.000000  1.000000  0.000000
77  native-country                       India   0.800000  0.400000  0.533333  0.125000
78  native-country                        Iran   0.750000  0.750000  0.750000  0.500000
79  native-country                     Ireland   1.000000  1.000000  1.000000  0.000000
80  native-country                       Italy   1.000000  0.666667  0.800000  0.000000
81  native-country                     Jamaica   0.000000  0.000000  0.000000  0.058824
82  native-country                       Japan   0.600000  1.000000  0.750000  0.222222
83  native-country                        Laos   1.000000  1.000000  1.000000  0.000000
84  native-country                      Mexico   0.250000  0.166667  0.200000  0.024000
85  native-country                   Nicaragua   1.000000  1.000000  1.000000  0.000000
86  native-country  Outlying-US(Guam-USVI-etc)   1.000000  1.000000  1.000000  0.000000
87  native-country                        Peru   1.000000  1.000000  1.000000  0.000000
88  native-country                 Philippines   0.666667  0.500000  0.571429  0.080000
89  native-country                      Poland   0.500000  0.666667  0.571429  0.200000
90  native-country                    Portugal   1.000000  1.000000  1.000000  0.000000
91  native-country                 Puerto-Rico   1.000000  0.666667  0.800000  0.000000
92  native-country                    Scotland   1.000000  1.000000  1.000000  0.000000
93  native-country                       South   0.200000  1.000000  0.333333  0.307692
94  native-country                      Taiwan   1.000000  0.800000  0.888889  0.000000
95  native-country                    Thailand   1.000000  1.000000  1.000000  0.000000
96  native-country             Trinadad&Tobago   1.000000  1.000000  1.000000  0.000000
97  native-country               United-States   0.803245  0.545830  0.649979  0.044232
98  native-country                     Vietnam   1.000000  0.000000  0.000000  0.000000
99  native-country                  Yugoslavia   1.000000  1.000000  1.000000  0.000000
